name,club,league,country,age,position,secondary_position,market_value_million,overall_rating,potential,preferred_foot,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physical,play_style,work_rate,weak_foot,skill_moves
K. Laimer,Bayern,Bundesliga,Germany,27,CDM,,42.1,83,87,Left,173,74,83,69,84,76,74,78,Box to Box,Low/Medium,2,4
J. Musiala,Bayern,Bundesliga,Germany,21,CAM,,58.8,85,92,Left,173,72,94,73,83,88,32,53,Inverted Winger,High/Medium,2,3
L. Sane,Bayern,Bundesliga,Germany,28,RW,ST,50.4,88,90,Right,168,67,87,78,82,91,52,54,Inverted Winger,High/Low,5,4
K. Coman,Bayern,Bundesliga,Germany,28,LW,RM,47.9,87,89,Right,167,72,82,83,80,90,35,61,Inverted Winger,High/Medium,4,4
H. Kane,Bayern,Bundesliga,Germany,31,ST,CF,33.0,82,84,Right,183,80,86,86,67,83,34,72,Target Man,High/Low,2,1
S. Gnabry,Bayern,Bundesliga,Germany,29,RM,,26.2,80,80,Right,173,76,85,81,78,84,54,69,Traditional Winger,Medium/Medium,2,2
T. Muller,Bayern,Bundesliga,Germany,34,CF,,33.0,82,84,Right,192,90,83,84,71,85,31,78,Poacher,Medium/High,3,2
S. Ulreich,Bayern,Bundesliga,Germany,35,GK,,42.0,85,88,Left,198,102,37,30,77,43,25,82,Sweeper Keeper,Medium/Medium,5,1
E. Dier,Bayern,Bundesliga,Germany,30,CB,RB,41.5,86,87,Right,191,86,81,47,67,58,90,87,Ball Winner,High/Low,4,2
R. Guerreiro,Bayern,Bundesliga,Germany,30,LB,CB,58.5,91,95,Right,171,67,91,58,75,84,72,65,Press Resistant,Medium/Medium,4,1
A. Pavlovic,Bayern,Bundesliga,Germany,20,CDM,,62.0,84,94,Right,181,80,69,64,89,83,85,72,Box to Box,High/Low,2,2
M. Tel,Bayern,Bundesliga,Germany,19,ST,RW,63.2,84,94,Right,183,87,76,90,78,76,26,83,Target Man,Medium/Medium,4,5
S. Boey,Bayern,Bundesliga,Germany,23,RB,RWB,54.4,83,92,Right,184,80,91,53,77,80,81,68,Press Resistant,Low/Medium,4,2
G. Kobel,Dortmund,Bundesliga,Germany,26,GK,,42.8,84,86,Left,192,91,53,23,78,43,16,67,Sweeper Keeper,Low/Medium,5,1
J. Ryerson,Dortmund,Bundesliga,Germany,26,RB,LWB,53.8,86,92,Left,177,82,91,50,85,76,76,67,Press Resistant,High/High,2,5
M. Hummels,Dortmund,Bundesliga,Germany,35,CB,RB,31.5,82,83,Right,193,89,66,42,58,62,86,84,Ball Winner,Medium/Medium,4,5
N. Schlotterbeck,Dortmund,Bundesliga,Germany,24,CB,CDM,60.7,89,93,Right,186,84,62,44,61,68,94,94,Ball Winner,High/Low,2,1
I. Maatsen,Dortmund,Bundesliga,Germany,22,LB,CB,67.1,90,95,Left,184,87,81,56,73,78,76,67,Press Resistant,Medium/High,2,1
E. Can,Dortmund,Bundesliga,Germany,30,CDM,,47.5,86,91,Right,172,69,79,68,89,82,69,83,Deep Playmaker,Medium/High,2,2
M. Sabitzer,Dortmund,Bundesliga,Germany,30,CM,CDM,50.5,89,91,Right,190,91,79,60,92,86,57,77,Box to Box,Medium/High,3,3
J. Brandt,Dortmund,Bundesliga,Germany,28,CAM,,44.4,85,88,Left,169,72,94,84,89,89,56,64,Traditional Winger,Low/Medium,4,2
J. Sancho,Dortmund,Bundesliga,Germany,24,RW,RM,62.7,88,95,Right,174,79,96,81,80,90,40,54,Creative Playmaker,Medium/Medium,4,3
K. Adeyemi,Dortmund,Bundesliga,Germany,22,LW,LM,67.1,90,95,Right,184,81,90,87,90,95,55,50,Creative Playmaker,Medium/Medium,2,5
N. Fullkrug,Dortmund,Bundesliga,Germany,31,ST,CF,58.5,91,95,Right,183,82,90,95,82,79,33,73,Target Man,High/Medium,2,4
A. Meyer,Dortmund,Bundesliga,Germany,33,GK,,40.5,85,87,Right,195,98,59,29,65,35,17,76,Sweeper Keeper,Medium/Medium,2,1
M. Wolf,Dortmund,Bundesliga,Germany,29,RB,LWB,46.2,88,88,Right,178,83,92,61,79,73,78,65,Press Resistant,High/Medium,3,5
N. Sule,Dortmund,Bundesliga,Germany,28,CB,RB,48.4,86,90,Right,185,87,76,54,61,58,88,86,Ball Winner,Low/Medium,4,4
R. Bensebaini,Dortmund,Bundesliga,Germany,29,LB,RWB,43.2,85,88,Right,175,72,92,57,72,76,79,70,Traditional Winger,High/Low,5,1
S. Ozcan,Dortmund,Bundesliga,Germany,26,CDM,,41.3,81,87,Left,186,89,69,77,84,77,80,76,Deep Playmaker,High/Medium,2,1
F. Nmecha,Dortmund,Bundesliga,Germany,23,CM,CAM,49.4,81,90,Right,172,71,65,62,82,78,70,78,Press Resistant,Low/Medium,4,2
M. Reus,Dortmund,Bundesliga,Germany,35,CAM,,30.5,81,83,Right,185,85,82,78,81,87,34,54,Traditional Winger,High/Low,4,3
D. Malen,Dortmund,Bundesliga,Germany,25,RW,ST,58.0,86,94,Left,166,69,96,87,79,89,49,69,Inverted Winger,High/Medium,2,1
S. Haller,Dortmund,Bundesliga,Germany,30,ST,LW,41.0,84,88,Right,186,84,75,89,79,90,43,72,Target Man,High/Medium,3,4
L. Hradecky,Leverkusen,Bundesliga,Germany,34,GK,,42.5,87,87,Right,199,102,48,15,78,34,25,76,Sweeper Keeper,High/High,5,1
J. Frimpong,Leverkusen,Bundesliga,Germany,23,RWB,,64.9,89,95,Right,174,71,85,67,77,72,78,71,Press Resistant,Medium/High,3,5
O. Kossounou,Leverkusen,Bundesliga,Germany,23,CB,RB,52.9,83,91,Left,183,81,65,55,57,53,87,87,Ball Winner,Low/Medium,3,2
J. Tah,Leverkusen,Bundesliga,Germany,28,CB,,52.4,87,92,Right,183,88,81,36,59,63,89,87,Ball Winner,High/Medium,2,5
E. Tapsoba,Leverkusen,Bundesliga,Germany,25,CB,RB,54.5,87,91,Right,187,85,60,37,60,68,92,93,Ball Winner,High/Low,3,1
A. Grimaldo,Leverkusen,Bundesliga,Germany,28,LWB,,43.9,86,87,Left,176,72,83,56,76,82,83,77,Press Resistant,High/High,4,5
G. Xhaka,Leverkusen,Bundesliga,Germany,31,CM,CAM,37.5,82,87,Left,187,89,68,62,84,82,66,79,Box to Box,High/High,2,2
E. Palacios,Leverkusen,Bundesliga,Germany,25,CM,CAM,40.5,82,85,Right,185,89,68,71,86,82,55,86,Box to Box,Low/Medium,2,2
F. Wirtz,Leverkusen,Bundesliga,Germany,21,CAM,,61.3,83,95,Right,178,79,94,81,76,86,36,73,Traditional Winger,High/High,4,1
J. Hofmann,Leverkusen,Bundesliga,Germany,31,RM,,29.5,80,83,Right,172,69,87,72,76,83,35,66,Inverted Winger,High/Low,2,5
V. Boniface,Leverkusen,Bundesliga,Germany,23,ST,CF,61.4,87,94,Left,184,86,91,91,69,86,27,78,Poacher,High/High,2,1
M. Kovar,Leverkusen,Bundesliga,Germany,24,GK,,38.2,80,84,Right,185,90,30,15,63,38,21,63,Sweeper Keeper,Medium/High,5,1
J. Stanisic,Leverkusen,Bundesliga,Germany,24,CB,RB,49.7,84,89,Right,190,91,70,38,71,59,85,81,Ball Playing Defender,Low/Medium,2,5
P. Hincapie,Leverkusen,Bundesliga,Germany,22,CB,,60.1,86,93,Right,188,84,73,42,59,68,87,91,Ball Winner,High/High,5,4
R. Andrich,Leverkusen,Bundesliga,Germany,29,CDM,,39.7,83,87,Right,184,81,81,81,85,81,65,79,Ball Winner,High/Medium,5,4
A. Adli,Leverkusen,Bundesliga,Germany,24,LM,,64.7,90,95,Right,175,77,96,84,81,95,49,72,Inverted Winger,High/Medium,3,2
N. Tella,Leverkusen,Bundesliga,Germany,24,RW,LM,63.7,89,95,Left,173,71,93,86,75,91,31,68,Creative Playmaker,High/Medium,5,3
P. Schick,Leverkusen,Bundesliga,Germany,28,ST,CF,47.4,85,90,Right,176,76,86,87,65,89,47,85,Poacher,Medium/Medium,2,4
M. Iglesias,Leverkusen,Bundesliga,Germany,31,ST,LW,41.0,84,88,Left,183,80,84,88,75,84,31,77,Target Man,High/Low,4,2
Arthur,Leverkusen,Bundesliga,Germany,21,RB,RWB,67.3,89,95,Right,176,76,85,67,79,81,78,66,Press Resistant,Medium/Medium,5,1
W. Szczesny,Juventus,Serie A,Italy,34,GK,,42.5,87,87,Right,196,99,58,22,82,41,29,81,Sweeper Keeper,High/High,3,1
Danilo,Juventus,Serie A,Italy,32,RB,RWB,35.0,81,86,Right,180,79,83,62,80,70,76,81,Press Resistant,Medium/Medium,2,1
G. Bremer,Juventus,Serie A,Italy,27,CB,RB,55.1,90,91,Right,196,97,62,41,63,51,95,87,Ball Winner,High/High,2,4
D. Rugani,Juventus,Serie A,Italy,29,CB,CDM,42.2,84,88,Right,183,86,77,52,69,68,85,87,Ball Winner,Medium/Medium,5,4
A. Cambiaso,Juventus,Serie A,Italy,24,LWB,,43.7,81,87,Left,182,77,91,54,71,77,73,73,Traditional Winger,High/Low,5,1
M. Locatelli,Juventus,Serie A,Italy,26,CDM,,38.3,81,85,Left,179,83,83,77,83,83,82,87,Box to Box,High/Medium,4,1
A. Rabiot,Juventus,Serie A,Italy,29,CM,CAM,48.7,86,91,Right,190,90,77,63,89,77,74,79,Box to Box,Medium/Medium,4,3
W. McKennie,Juventus,Serie A,Italy,25,CM,CDM,60.5,87,95,Right,172,77,82,76,92,77,67,86,Deep Playmaker,Medium/High,2,2
F. Chiesa,Juventus,Serie A,Italy,26,LW,CAM,50.3,84,91,Right,173,69,82,75,84,86,50,58,Inverted Winger,Medium/High,4,4
T. Weah,Juventus,Serie A,Italy,24,RW,ST,56.7,85,93,Left,170,69,84,87,77,90,45,55,Inverted Winger,Medium/Medium,2,4
D. Vlahovic,Juventus,Serie A,Italy,24,ST,RW,59.2,86,94,Right,191,95,77,88,66,82,29,79,Target Man,High/Low,4,1
M. Perin,Juventus,Serie A,Italy,31,GK,,50.0,87,92,Right,194,89,48,24,68,49,21,75,Sweeper Keeper,Medium/High,4,1
F. Gatti,Juventus,Serie A,Italy,25,CB,RB,38.5,80,85,Right,192,96,79,32,65,65,84,81,Ball Playing Defender,High/High,5,1
T. Djalo,Juventus,Serie A,Italy,24,CB,,41.2,80,86,Right,189,89,79,53,57,60,82,82,Ball Playing Defender,High/High,5,3
A. Sandro,Juventus,Serie A,Italy,33,LB,LWB,31.0,80,84,Right,171,68,94,70,78,76,81,79,Traditional Winger,High/Medium,4,3
F. Miretti,Juventus,Serie A,Italy,20,CM,CAM,69.5,90,95,Right,173,76,81,79,94,79,59,81,Ball Winner,High/Low,3,5
C. Alcaraz,Juventus,Serie A,Italy,21,CM,CAM,57.8,84,92,Left,172,71,74,63,84,83,57,75,Ball Winner,Medium/Medium,5,4
F. Kostic,Juventus,Serie A,Italy,31,LM,,54.5,90,93,Right,166,66,95,83,78,92,42,54,Creative Playmaker,High/Medium,4,3
A. Milik,Juventus,Serie A,Italy,30,ST,RW,29.0,81,82,Right,194,96,81,85,78,81,39,79,Poacher,Medium/High,3,5
M. Kean,Juventus,Serie A,Italy,24,ST,LW,62.2,89,94,Left,195,91,79,94,67,86,29,85,Poacher,High/Medium,3,5
Y. Sommer,Inter,Serie A,Italy,35,GK,,29.0,81,82,Right,196,93,52,30,81,30,21,67,Sweeper Keeper,High/High,4,1
B. Pavard,Inter,Serie A,Italy,28,CB,RB,56.4,91,92,Right,190,91,78,42,74,52,94,95,Ball Winner,Medium/Medium,3,4
F. Acerbi,Inter,Serie A,Italy,36,CB,,48.0,88,90,Left,190,88,65,42,65,70,88,92,Ball Playing Defender,Medium/High,4,5
A. Bastoni,Inter,Serie A,Italy,25,CB,,62.5,89,95,Left,196,95,71,49,55,66,91,91,Ball Winner,Low/Medium,5,1
D. Dumfries,Inter,Serie A,Italy,28,RWB,,51.4,89,90,Right,179,80,91,64,72,78,75,81,Traditional Winger,Medium/Medium,3,5
F. Dimarco,Inter,Serie A,Italy,26,LWB,,60.3,88,95,Left,173,71,85,65,83,85,70,70,Traditional Winger,Low/Medium,4,4
H. Calhanoglu,Inter,Serie A,Italy,30,CDM,,31.0,80,84,Left,186,86,85,67,85,87,85,75,Deep Playmaker,High/Medium,3,1
N. Barella,Inter,Serie A,Italy,27,CM,CDM,37.1,81,85,Right,173,71,70,76,85,76,59,83,Press Resistant,High/Medium,5,3
H. Mkhitaryan,Inter,Serie A,Italy,35,CM,CAM,35.0,81,86,Right,186,89,82,82,83,75,59,85,Deep Playmaker,High/Medium,4,1
L. Martinez,Inter,Serie A,Italy,26,ST,RW,47.8,83,90,Right,185,82,92,88,68,88,32,87,Target Man,Low/Medium,5,3
M. Thuram,Inter,Serie A,Italy,26,ST,CF,53.3,87,91,Left,183,78,81,93,79,79,39,87,Poacher,High/Low,4,2
E. Audero,Inter,Serie A,Italy,27,GK,,34.1,81,83,Right,199,98,39,22,69,34,27,81,Sweeper Keeper,Low/Medium,3,1
S. De Vrij,Inter,Serie A,Italy,32,CB,RB,35.0,81,86,Left,188,93,65,48,63,51,83,83,Ball Playing Defender,High/Low,4,4
Y. Bisseck,Inter,Serie A,Italy,23,CB,CDM,63.4,89,94,Right,193,98,68,43,65,63,89,88,Ball Playing Defender,High/Medium,2,5
M. Darmian,Inter,Serie A,Italy,34,RWB,,39.0,85,86,Right,182,81,82,54,76,80,80,79,Traditional Winger,Low/Medium,2,1
C. Augusto,Inter,Serie A,Italy,25,LWB,,62.5,89,95,Right,174,73,93,70,74,77,74,80,Traditional Winger,Medium/High,4,1
D. Frattesi,Inter,Serie A,Italy,24,CM,CAM,61.7,87,95,Right,181,86,82,78,91,78,68,88,Press Resistant,Low/Medium,5,1
K. Asllani,Inter,Serie A,Italy,22,CDM,,67.1,90,95,Right,185,90,74,75,92,78,66,74,Press Resistant,High/High,2,1
M. Arnautovic,Inter,Serie A,Italy,35,ST,CF,27.5,81,81,Right,177,75,79,83,81,80,30,80,Poacher,High/Medium,2,3
A. Sanchez,Inter,Serie A,Italy,35,CF,,51.0,88,92,Left,176,79,93,93,66,86,50,83,Target Man,Medium/Medium,2,1
M. Maignan,AC Milan,Serie A,Italy,28,GK,,51.9,88,91,Right,199,103,42,25,83,34,16,69,Sweeper Keeper,High/High,3,1
D. Calabria,AC Milan,Serie A,Italy,27,RB,RWB,42.6,85,86,Right,182,78,93,67,72,73,75,70,Traditional Winger,Medium/High,4,1
M. Thiaw,AC Milan,Serie A,Italy,22,CB,RB,49.6,80,90,Right,190,92,81,52,72,50,85,80,Ball Winner,High/Low,2,3
F. Tomori,AC Milan,Serie A,Italy,26,CB,,40.3,83,85,Left,193,88,73,54,59,52,88,81,Ball Playing Defender,High/Low,2,1
T. Hernandez,AC Milan,Serie A,Italy,26,LB,CB,34.3,80,83,Right,184,80,91,70,81,85,73,79,Press Resistant,High/Low,3,2
T. Reijnders,AC Milan,Serie A,Italy,25,CM,CAM,63.5,90,95,Right,173,69,67,68,92,78,74,84,Box to Box,High/Medium,2,2
I. Bennacer,AC Milan,Serie A,Italy,26,CDM,,49.3,86,89,Left,185,87,69,68,91,85,71,76,Deep Playmaker,High/Medium,3,2
R. Loftus-Cheek,AC Milan,Serie A,Italy,28,CM,CDM,56.9,90,93,Right,187,84,69,77,94,84,69,71,Ball Winner,Medium/Medium,3,5
C. Pulisic,AC Milan,Serie A,Italy,25,RW,ST,40.0,80,86,Right,183,79,83,81,77,83,50,74,Creative Playmaker,High/High,2,1
R. Leao,AC Milan,Serie A,Italy,24,LW,RM,55.7,84,93,Left,174,69,93,76,79,87,50,55,Creative Playmaker,Low/Medium,3,5
O. Giroud,AC Milan,Serie A,Italy,37,ST,RW,48.0,88,90,Right,176,76,79,94,78,79,43,80,Poacher,High/Medium,5,4
M. Sportiello,AC Milan,Serie A,Italy,32,GK,,56.0,90,94,Right,194,89,31,24,70,40,18,60,Sweeper Keeper,High/Medium,4,1
A. Florenzi,AC Milan,Serie A,Italy,33,RB,RWB,50.5,89,91,Right,184,83,88,51,82,82,77,73,Press Resistant,Medium/High,2,2
S. Kjaer,AC Milan,Serie A,Italy,35,CB,CDM,49.0,89,90,Right,184,89,76,50,56,66,92,94,Ball Playing Defender,Low/Medium,5,5
M. Gabbia,AC Milan,Serie A,Italy,24,CB,,64.7,90,95,Right,190,95,61,47,69,61,90,91,Ball Winner,Medium/Medium,3,3
Y. Adli,AC Milan,Serie A,Italy,23,CM,CDM,66.9,91,95,Right,187,83,71,68,95,79,59,70,Ball Winner,Medium/High,5,4
Y. Musah,AC Milan,Serie A,Italy,21,CM,CAM,63.3,85,95,Left,179,84,71,67,88,75,56,79,Deep Playmaker,High/High,5,2
S. Chukwueze,AC Milan,Serie A,Italy,25,RW,RM,64.5,91,95,Left,171,75,85,73,76,93,37,50,Inverted Winger,Medium/Medium,5,4
N. Okafor,AC Milan,Serie A,Italy,24,LW,LM,45.2,81,88,Left,177,77,83,73,85,87,45,60,Inverted Winger,High/High,4,4
L. Jovic,AC Milan,Serie A,Italy,26,ST,CF,55.8,88,92,Left,177,77,86,92,68,84,39,88,Target Man,High/Low,4,4
A. Meret,Napoli,Serie A,Italy,27,GK,,57.6,88,94,Right,195,100,30,15,74,50,29,68,Sweeper Keeper,Low/Medium,5,1
G. Di Lorenzo,Napoli,Serie A,Italy,30,RB,RWB,50.5,89,91,Left,170,68,91,60,76,71,70,68,Traditional Winger,High/High,2,5
A. Rrahmani,Napoli,Serie A,Italy,30,CB,,43.5,85,89,Right,186,89,73,47,59,67,88,85,Ball Winner,High/High,4,2
Juan Jesus,Napoli,Serie A,Italy,32,CB,,45.0,85,90,Right,183,88,76,54,59,59,89,84,Ball Playing Defender,Low/Medium,5,4
M. Olivera,Napoli,Serie A,Italy,26,LB,CB,52.8,88,90,Right,178,73,91,62,78,77,76,69,Traditional Winger,Low/Medium,5,3
S. Lobotka,Napoli,Serie A,Italy,29,CDM,,39.7,83,87,Right,182,84,68,74,84,85,72,81,Box to Box,High/High,3,4
F. Anguissa,Napoli,Serie A,Italy,28,CM,CDM,40.4,84,86,Right,180,80,72,72,88,83,67,81,Press Resistant,High/Low,2,2
P. Zielinski,Napoli,Serie A,Italy,30,CM,CAM,48.5,87,91,Right,179,80,71,82,91,83,57,83,Ball Winner,High/High,2,5
M. Politano,Napoli,Serie A,Italy,30,RW,ST,45.5,87,89,Right,184,89,82,81,77,91,58,50,Traditional Winger,Medium/High,5,1
K. Kvaratskhelia,Napoli,Serie A,Italy,23,LW,LM,53.4,82,92,Right,185,83,89,74,90,88,36,57,Inverted Winger,High/Medium,4,3
V. Osimhen,Napoli,Serie A,Italy,25,ST,CF,48.0,82,90,Left,182,87,79,84,82,87,42,79,Poacher,Medium/High,2,1
P. Gollini,Napoli,Serie A,Italy,29,GK,,50.7,88,91,Left,185,81,60,18,63,34,25,66,Sweeper Keeper,High/Low,4,1
M. Rui,Napoli,Serie A,Italy,33,LB,RWB,45.0,85,90,Right,173,68,83,68,85,74,74,66,Press Resistant,High/Low,3,4
N. Perez,Napoli,Serie A,Italy,23,CB,,61.9,86,95,Right,183,81,75,47,62,65,89,92,Ball Playing Defender,Low/Medium,4,5
L. Ostigard,Napoli,Serie A,Italy,24,CB,RB,41.2,80,86,Right,192,96,79,42,72,51,84,84,Ball Winner,High/Medium,2,5
J. Cajuste,Napoli,Serie A,Italy,24,CM,CAM,54.2,84,92,Right,187,86,83,82,85,87,71,88,Press Resistant,High/Low,2,1
H. Traore,Napoli,Serie A,Italy,24,CAM,,49.2,82,90,Left,185,81,87,75,86,86,30,53,Inverted Winger,High/Medium,4,2
C. Ngonge,Napoli,Serie A,Italy,24,RW,LM,60.2,87,94,Left,168,72,90,70,85,90,46,54,Traditional Winger,Low/Medium,3,3
J. Lindstrom,Napoli,Serie A,Italy,24,CAM,,64.7,90,95,Right,175,72,88,88,76,95,41,72,Inverted Winger,High/High,2,4
G. Simeone,Napoli,Serie A,Italy,28,ST,RW,39.9,82,87,Right,186,82,83,87,67,82,29,84,Target Man,High/Medium,5,1
G. Donnarumma,PSG,Ligue 1,France,25,GK,,45.5,81,89,Left,199,102,59,27,79,43,27,60,Sweeper Keeper,Medium/High,3,1
A. Hakimi,PSG,Ligue 1,France,25,RB,CB,64.5,91,95,Right,179,78,90,54,74,75,83,80,Press Resistant,High/High,4,3
Marquinhos,PSG,Ligue 1,France,30,CB,,32.0,81,84,Right,184,87,70,39,74,70,82,79,Ball Playing Defender,High/Low,5,3
M. Skriniar,PSG,Ligue 1,France,29,CB,CDM,45.7,86,89,Right,188,87,68,45,62,53,87,87,Ball Playing Defender,Medium/High,2,3
N. Mendes,PSG,Ligue 1,France,22,LB,LWB,67.1,90,95,Left,184,79,91,66,79,70,70,82,Traditional Winger,Low/Medium,3,2
M. Ugarte,PSG,Ligue 1,France,23,CDM,,48.4,80,90,Right,176,71,71,74,83,78,77,73,Box to Box,High/Low,4,4
W. Zaire-Emery,PSG,Ligue 1,France,18,CM,CAM,60.9,82,93,Right,189,94,83,64,86,75,74,79,Deep Playmaker,High/Medium,5,2
Vitinha,PSG,Ligue 1,France,24,CM,CAM,59.7,88,93,Left,173,75,74,80,88,84,55,73,Press Resistant,High/High,5,3
O. Dembele,PSG,Ligue 1,France,27,RW,ST,55.1,87,93,Left,168,63,84,75,90,90,34,59,Traditional Winger,High/Low,4,1
B. Barcola,PSG,Ligue 1,France,21,LW,RM,66.3,88,95,Left,185,88,87,83,80,93,55,51,Creative Playmaker,High/Medium,5,4
G. Ramos,PSG,Ligue 1,France,23,ST,CF,53.4,85,90,Left,183,80,78,87,77,83,25,86,Poacher,High/High,4,4
K. Navas,PSG,Ligue 1,France,37,GK,,30.0,82,82,Right,196,91,50,22,60,45,25,71,Sweeper Keeper,High/High,2,1
L. Hernandez,PSG,Ligue 1,France,28,CB,RB,50.4,88,90,Left,186,88,69,48,55,68,92,93,Ball Winner,High/Low,4,5
Beraldo,PSG,Ligue 1,France,20,CB,CDM,54.5,81,91,Right,185,84,69,31,55,60,84,83,Ball Winner,Medium/High,4,3
N. Mukiele,PSG,Ligue 1,France,26,RB,LWB,53.3,87,91,Right,171,70,82,51,70,85,74,72,Traditional Winger,High/High,5,2
F. Ruiz,PSG,Ligue 1,France,28,CM,CDM,27.4,80,80,Right,187,87,82,76,84,78,72,71,Press Resistant,High/Low,2,1
K. Lee,PSG,Ligue 1,France,23,CAM,,50.4,82,90,Right,177,72,85,82,79,87,48,63,Creative Playmaker,Medium/Medium,4,3
M. Asensio,PSG,Ligue 1,France,28,RW,RM,36.9,82,85,Right,167,62,96,71,79,85,52,58,Traditional Winger,Low/Medium,2,3
R. Kolo Muani,PSG,Ligue 1,France,25,ST,,48.0,85,88,Left,192,90,83,89,70,77,27,82,Poacher,High/Low,2,5
D. Pereira,PSG,Ligue 1,France,32,CDM,,36.0,82,86,Left,187,84,69,71,83,78,66,71,Press Resistant,High/Low,2,1
N. Pope,Newcastle,Premier League,England,32,GK,,36.5,84,85,Right,191,93,38,30,74,45,22,75,Sweeper Keeper,Medium/Medium,2,1
K. Trippier,Newcastle,Premier League,England,33,RB,RWB,34.0,83,84,Left,178,76,93,52,75,77,80,66,Traditional Winger,High/Medium,3,5
F. Schar,Newcastle,Premier League,England,32,CB,,50.0,90,90,Right,185,83,72,38,66,70,90,95,Ball Playing Defender,High/Medium,4,4
S. Botman,Newcastle,Premier League,England,24,CB,,48.2,84,88,Left,196,100,75,32,71,60,85,82,Ball Playing Defender,Medium/High,5,4
D. Burn,Newcastle,Premier League,England,32,LB,LWB,36.0,82,86,Right,170,65,95,50,73,77,72,78,Traditional Winger,High/High,4,1
B. Guimaraes,Newcastle,Premier League,England,26,CDM,,48.8,84,90,Right,187,86,84,73,89,84,82,84,Ball Winner,High/Low,2,2
J. Linton,Newcastle,Premier League,England,27,CM,CDM,53.1,88,91,Right,174,75,85,79,88,83,69,87,Deep Playmaker,High/High,2,1
S. Tonali,Newcastle,Premier League,England,24,CM,CAM,39.7,80,85,Right,180,78,72,69,84,79,55,77,Ball Winner,Medium/High,5,2
M. Almiron,Newcastle,Premier League,England,30,RW,LM,30.0,82,82,Right,170,72,87,80,84,88,40,58,Traditional Winger,High/High,3,4
A. Gordon,Newcastle,Premier League,England,23,LW,RM,55.9,83,93,Right,165,61,85,83,86,89,45,65,Creative Playmaker,Medium/High,2,1
A. Isak,Newcastle,Premier League,England,24,ST,RW,42.2,81,86,Right,189,92,82,84,77,82,45,83,Poacher,Medium/High,5,4
M. Dubravka,Newcastle,Premier League,England,35,GK,,38.5,83,87,Left,199,102,36,29,66,41,23,77,Sweeper Keeper,High/High,5,1
T. Livramento,Newcastle,Premier League,England,21,RB,RWB,66.3,88,95,Right,185,80,84,69,72,71,76,79,Traditional Winger,High/Medium,5,3
J. Lascelles,Newcastle,Premier League,England,30,CB,RB,38.0,84,86,Right,187,91,62,33,68,54,85,87,Ball Winner,High/Low,2,2
E. Krafth,Newcastle,Premier League,England,29,RB,,45.2,87,88,Left,170,66,87,70,71,85,85,77,Traditional Winger,Low/Medium,2,1
L. Hall,Newcastle,Premier League,England,19,LB,CB,66.7,86,95,Right,181,78,85,54,74,72,76,76,Traditional Winger,High/High,5,5
S. Longstaff,Newcastle,Premier League,England,26,CM,CDM,61.8,91,94,Right,173,75,78,70,94,83,69,88,Ball Winner,Medium/Medium,2,3
J. Willock,Newcastle,Premier League,England,24,CM,CDM,62.2,89,94,Left,187,91,81,76,93,80,73,83,Box to Box,Medium/High,4,1
H. Barnes,Newcastle,Premier League,England,26,LW,LM,58.3,89,93,Right,179,83,86,78,75,91,50,62,Traditional Winger,Low/Medium,2,4
C. Wilson,Newcastle,Premier League,England,32,ST,CF,47.0,87,90,Left,186,89,92,92,69,80,34,82,Target Man,High/Medium,4,3
P. Gulacsi,RB Leipzig,Bundesliga,Germany,34,GK,,47.5,86,91,Right,190,95,38,21,77,32,23,71,Sweeper Keeper,Medium/High,2,1
M. Simakan,RB Leipzig,Bundesliga,Germany,24,RB,,58.7,87,93,Left,179,80,94,61,82,75,80,67,Traditional Winger,Medium/Medium,4,2
W. Orban,RB Leipzig,Bundesliga,Germany,31,CB,RB,55.0,89,94,Left,186,89,77,35,69,59,90,92,Ball Playing Defender,High/Medium,2,1
C. Lukeba,RB Leipzig,Bundesliga,Germany,21,CB,,66.3,88,95,Right,196,93,74,32,69,65,88,90,Ball Playing Defender,Medium/High,4,3
D. Raum,RB Leipzig,Bundesliga,Germany,26,LB,,48.8,84,90,Right,176,78,95,66,77,79,70,67,Traditional Winger,High/High,2,4
X. Schlager,RB Leipzig,Bundesliga,Germany,26,CDM,,34.3,80,83,Left,184,82,81,73,85,75,68,85,Ball Winner,Medium/Medium,4,1
A. Haidara,RB Leipzig,Bundesliga,Germany,26,CM,CAM,50.3,84,91,Right,190,91,85,66,84,83,64,77,Press Resistant,High/Low,2,4
D. Olmo,RB Leipzig,Bundesliga,Germany,26,CAM,,53.3,87,91,Right,170,73,82,88,79,91,38,59,Creative Playmaker,High/High,2,4
X. Simons,RB Leipzig,Bundesliga,Germany,21,CAM,,67.3,89,95,Right,177,76,96,83,83,91,31,74,Creative Playmaker,Medium/High,3,3
L. Openda,RB Leipzig,Bundesliga,Germany,24,ST,RW,61.7,87,95,Left,177,73,84,90,68,77,39,82,Target Man,High/Low,5,4
B. Sesko,RB Leipzig,Bundesliga,Germany,21,ST,RW,63.3,85,95,Right,179,81,81,88,66,84,48,82,Target Man,High/Medium,4,2
J. Blaswich,RB Leipzig,Bundesliga,Germany,33,GK,,47.5,86,91,Left,192,91,45,15,75,46,16,74,Sweeper Keeper,High/High,3,1
B. Henrichs,RB Leipzig,Bundesliga,Germany,27,RB,,38.1,82,85,Right,178,74,82,70,84,84,76,67,Traditional Winger,Medium/High,4,5
